Company_Name;period;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;d1;d2;d3;d4;d5;d6;year;yearfory;periodfory;t;u
ABERCROMBIE & FITCH CO;3;0;1.785474685;0.300810563;8.497338749;8.083189682;2.556089249;0.416893042;0;0.319782179;0.548410844;27.33469556;0;0;1;0;0;0;1998;2001;6;2;5
ABERCROMBIE & FITCH CO;4;0;2.177599986;0.354349733;6.418537637;6.59742067;2.274407095;0.321001558;0;0.326527939;0.480896448;18.50951749;0;0;0;1;0;0;1999;2002;7;3;6
ABERCROMBIE & FITCH CO;5;0;1.964014439;0.253610114;8.306067116;4.358466506;2.106502629;0.280530231;0;0.269155223;0.3741022;11.98864185;0;0;0;0;1;0;2000;2003;8;4;7
ABERCROMBIE & FITCH CO;6;0;2.477060012;0.313564667;5.648851891;3.735730838;1.771280362;0.227257038;0;0.218899326;0.283275729;14.97955985;0;0;0;0;0;1;2001;2004;9;5;8
ABRAXAS PETROLEUM CORP;1;0;0.378873239;-0.101162257;-1.164021166;0.125499144;0.117755009;0.894632207;0.837058058;-0.001146964;-0.010885341;0.611277011;1;0;0;0;0;0;1991;1994;4;0;3
ABRAXAS PETROLEUM CORP;2;0;0.210982976;-0.397411075;-0.474109131;0.21081951;0.18841622;1.01427228;1.040668348;-0.218786303;15.32945739;0.688210048;0;1;0;0;0;0;1992;1995;5;1;4
ABRAXAS PETROLEUM CORP;3;0;1.324122808;0.034058439;5.07036535;0.200599604;0.172688727;0.420614803;0.331783029;-0.056042032;-0.096726723;2.359639512;0;0;1;0;0;0;1993;1996;6;2;5
ABRAXAS PETROLEUM CORP;4;0;0.762090773;-0.016971643;-8.873338534;0.159252919;0.150595135;0.682488289;0.632797753;-0.031767094;-0.10005015;0.880801981;0;0;0;1;0;0;1994;1997;7;3;6
ABRAXAS PETROLEUM CORP;5;0;1.423584297;0.030952073;5.247626298;0.181282636;0.162424912;0.56431989;0.528581241;-0.014212327;-0.032621013;0.755145405;0;0;0;0;1;0;1995;1998;8;4;7
ABRAXAS PETROLEUM CORP;6;0;1.381124477;0.021102735;4.143168021;0.094671971;0.087432178;0.88303449;0.857767424;0.004963227;0.042433251;0.210276537;0;0;0;0;0;1;1996;1999;9;5;8
AC MOORE ARTS AND CRAFTS INC;1;0;3.421488102;0.620188598;3.369356168;16.89378376;2.089636277;0.287299256;0;0.06042351;0.084781039;4.437694277;1;0;0;0;0;0;1997;2000;4;0;3
AC MOORE ARTS AND CRAFTS INC;2;0;2.58366696;0.518729433;4.377355407;14.77132689;2.270663088;0.37866848;0.029731318;0.047779788;0.076899025;1.454358524;0;1;0;0;0;0;1998;2001;5;1;4
AC MOORE ARTS AND CRAFTS INC;3;0;2.627456454;0.514528179;4.782798927;14.53418501;2.460884823;0.371287949;0.020611645;0.062504828;0.099417258;1.279285553;0;0;1;0;0;0;1999;2002;6;2;5
AC MOORE ARTS AND CRAFTS INC;4;0;2.241916798;0.439213348;5.555821743;11.78101946;2.440191069;0.407022869;0.012590514;0.061056689;0.102966348;1.388902393;0;0;0;1;0;0;2000;2003;7;3;6
AC MOORE ARTS AND CRAFTS INC;5;0;2.356428503;0.45571072;5.891549388;12.88772145;2.684842215;0.404519792;0.024413804;0.076786392;0.128948689;4.397552108;0;0;0;0;1;0;2001;2004;8;4;7
AC MOORE ARTS AND CRAFTS INC;6;0;3.879392547;0.629575202;3.177359033;13.1798445;2.000386454;0.26760671;0.003487045;0.073513409;0.100374225;4.541856075;0;0;0;0;0;1;2002;2005;9;5;8
ACCELR8 TECHNOLOGY CORP NEW;1;0;6.529220795;0.73500216;1.231356427;6.85294129;0.905049633;0.1627104;0;0.514889945;0.614948454;284.9981032;1;0;0;0;0;0;1996;1999;4;0;3
ACCELR8 TECHNOLOGY CORP NEW;2;0;25.62962962;0.877754088;0.287796414;2.916764409;0.252614479;0.070667071;0;0.097979491;0.105429914;259.6422415;0;1;0;0;0;0;1997;2000;5;1;4
ACCELR8 TECHNOLOGY CORP NEW;3;0;15.22278482;0.804007156;0.656906372;3.787070289;0.528157424;0.115849733;0;0.205939177;0.232923276;21.30404569;0;0;1;0;0;0;1998;2001;6;2;5
ACCELR8 TECHNOLOGY CORP NEW;4;0;16.87120116;0.779293683;0.264247287;1.200000002;0.205926242;0.130533647;0;0.004974064;0.005720824;4.762724553;0;0;0;1;0;0;1999;2002;7;3;6
ACCELR8 TECHNOLOGY CORP NEW;5;0;17.85393259;0.801159775;0.149238095;0.79021685;0.119563559;0.140698915;0;-0.070425759;-0.081957024;1.125374185;0;0;0;0;1;0;2000;2003;8;4;7
ACCELR8 TECHNOLOGY CORP NEW;6;0;18.31499052;0.850260901;0.093808219;0.792592582;0.079761461;0.104360791;0;-0.144148341;-0.160944653;12.36921427;0;0;0;0;0;1;2001;2004;9;5;8
ACE COMM CORP;1;0;1.205391947;0.1326759;10.53400096;6.313744086;1.397608058;1.010560918;1.053928571;0.074136243;-7.019867559;4.41864282;1;0;0;0;0;0;1996;1999;4;0;3
ACE COMM CORP;2;0;2.778165506;0.532102155;1.888645917;5.958606097;1.004952563;0.352318155;0.044624389;0.078286294;0.120871528;8.553172319;0;1;0;0;0;0;1997;2000;5;1;4
ACE COMM CORP;3;0;1.511552284;0.243077298;3.757945806;3.242170574;0.913471312;0.480136624;0.009452235;-0.374862765;-0.721079389;4.754795468;0;0;1;0;0;0;1998;2001;6;2;5
ACE COMM CORP;4;0;2.546638165;0.425637736;3.726221884;5.30157315;1.586020645;0.279159313;0.005460046;0.033049896;0.045849099;13.71242815;0;0;0;1;0;0;1999;2002;7;3;6
ACE COMM CORP;5;0;3.432472328;0.578626289;2.561134705;8.07605835;1.481939871;0.257450077;0.025683847;0.096466974;0.129913116;3.619342397;0;0;0;0;1;0;2000;2003;8;4;7
ACE COMM CORP;6;0;2.805867525;0.527270294;3.068790453;8.951869647;1.618082044;0.313591648;0.021091811;-0.463561533;-0.675343666;2.253725991;0;0;0;0;0;1;2001;2004;9;5;8
